int, omega, ref, sam
1.922243840761746569e-08,3.082400544583999036e+00,4.310961768499004591e-08,4.310961768499004591e-08
1.352014698867709369e-08,3.081896225123170741e+00,4.439402979482794395e-08,4.439402979482794395e-08
8.226534960588563298e-09,3.081392070661347571e+00,4.571510852459268105e-08,4.571510852459268105e-08
3.891973387918434893e-09,3.080888081117568955e+00,4.707385247521456145e-08,4.707385247521456145e-08
1.015955700747312963e-09,3.080384256410926724e+00,4.847128605246949851e-08,4.847128605246949851e-08
5.278333130489124676e-14,3.079880596460565112e+00,4.990846009521887162e-08,4.990846009521887162e-08
1.106833106647616260e-09,3.079377101185681642e+00,5.138645251791900318e-08,5.138645251791900318e-08
4.428712594891408331e-09,3.078873770505527130e+00,5.290636896770506157e-08,5.290636896770506157e-08
9.870042811680513651e-09,3.078370604339404348e+00,5.446934349635244936e-08,5.446934349635244936e-08
1.714476188113085965e-08,3.077867602606668918e+00,5.607653924741867637e-08,5.607653924741867637e-08
2.579068939233179357e-08,3.077364765226729748e+00,5.772914915888447304e-08,5.772914915888447304e-08
3.520013998043823979e-08,3.076862092119048153e+00,5.942839668162214475e-08,5.942839668162214475e-08
4.466507544543864320e-08,3.076359583203137404e+00,6.117553651401315839e-08,6.117553651401315839e-08
5.343363766135370410e-08,3.075857238398564952e+00,6.297185535303795221e-08,6.297185535303795221e-08
6.077372952363729836e-08,3.075355057624948429e+00,6.481867266221032601e-08,6.481867266221032601e-08
6.603845300408240858e-08,3.074853040801960535e+00,6.671734145665063630e-08,6.671734145665063630e-08
6.872776446554832232e-08,3.074351187849324152e+00,6.866924910571353104e-08,6.866924910571353104e-08
6.854072911424236546e-08,3.073849498686815895e+00,7.067581815346645369e-08,7.067581815346645369e-08
6.541327215628518769e-08,3.073347973234264341e+00,7.273850715743348631e-08,7.273850715743348631e-08
5.953731509492768072e-08,3.072846611411550910e+00,7.485881154594601841e-08,7.485881154594601841e-08
5.135859023212610870e-08,3.072345413138608095e+00,7.703826449450328356e-08,7.703826449450328356e-08
4.155214391338669894e-08,3.071844378335421677e+00,7.927843782149786908e-08,7.927843782149786908e-08
3.097643577296259138e-08,3.071343506922028954e+00,8.158094290373365944e-08,8.158094290373365944e-08
2.060886088666024002e-08,3.070842798818520514e+00,8.394743161210652528e-08,8.394743161210652528e-08
1.146729780138131554e-08,3.070342253945037125e+00,8.637959726788822881e-08,8.637959726788822881e-08
4.523755174373915899e-09,3.069841872221773738e+00,8.887917561997837821e-08,8.887917561997837821e-08
6.172087305551545238e-10,3.069341653568975481e+00,9.144794584361158103e-08,9.144794584361158103e-08
3.731757112371780754e-10,3.068841597906940333e+00,9.408773156088498694e-08,9.408773156088498694e-08
4.137396455137436709e-09,3.068341705156019117e+00,9.680040188358521680e-08,9.680040188358521680e-08
1.193016425502895889e-08,3.067841975236612395e+00,9.958787247876522036e-08,9.958787247876522036e-08
2.342640293283365247e-08,3.067342408069174020e+00,1.024521066574722781e-07,1.024521066574722781e-07
3.796462974164688839e-08,3.066843003574210247e+00,1.053951164871448300e-07,1.053951164871448300e-07
5.458560235305290330e-08,3.066343761672277068e+00,1.084189639281398040e-07,1.084189639281398040e-07
7.209891611066780822e-08,3.065844682283983769e+00,1.115257619948185795e-07,1.115257619948185795e-07
8.917330103002121058e-08,3.065345765329991146e+00,1.147176759417408600e-07,1.147176759417408600e-07
1.044440862622145730e-07,3.064847010731011512e+00,1.179969244754281021e-07,1.179969244754281021e-07
1.166294629275573123e-07,3.064348418407807806e+00,1.213657809922097612e-07,1.213657809922097612e-07
1.246459666661436870e-07,3.063849988281196257e+00,1.248265748426375079e-07,1.248265748426375079e-07
1.277131563344904888e-07,3.063351720272043277e+00,1.283816926230506607e-07,1.283816926230506607e-07
1.254378633113613910e-07,3.062853614301267235e+00,1.320335794947487262e-07,1.320335794947487262e-07
1.178696363244263896e-07,3.062355670289837573e+00,1.357847405313690773e-07,1.357847405313690773e-07
1.055210458818741654e-07,3.061857888158776131e+00,1.396377420949737676e-07,1.396377420949737676e-07
8.934920524851919282e-08,3.061360267829154935e+00,1.435952132414554913e-07,1.435952132414554913e-07
7.069801310423412386e-08,3.060862809222097969e+00,1.476598471557686320e-07,1.476598471557686320e-07
5.120397883483995369e-08,3.060365512258779841e+00,1.518344026176197751e-07,1.518344026176197751e-07
3.267177658293604607e-08,3.059868376860427119e+00,1.561217054981570850e-07,1.561217054981570850e-07
1.692860238074896065e-08,3.059371402948316998e+00,1.605246502883014716e-07,1.605246502883014716e-07
5.668709694756202935e-09,3.058874590443778185e+00,1.650462016592876136e-07,1.650462016592876136e-07
