Frequency, int
2.850200864963745140e+00,2.201253236615340406e-04
2.849769659882833039e+00,4.847936300221761252e-03
2.849338585255670964e+00,8.378529215422416895e-03
2.848907641023068038e+00,9.264082889334514757e-04
2.848476827125868915e+00,3.484599419951126074e-03
2.848046143504955108e+00,9.315028474757488033e-03
2.847615590101242322e+00,2.304171947253812972e-03
2.847185166855683125e+00,1.931740594745398262e-03
2.846754873709265166e+00,9.629635585783100082e-03
2.846324710603011621e+00,4.411239567420256573e-03
2.845894677477982526e+00,5.775721225611488846e-04
2.845464774275272113e+00,8.963188686140254394e-03
2.845035000936010583e+00,7.047922025249493336e-03
2.844605357401364110e+00,2.410169297117556453e-07
2.844175843612534393e+00,7.137004837242119995e-03
2.843746459510758218e+00,9.651441227984534216e-03
2.843317205037307893e+00,8.129163540903719398e-04
2.842888080133491702e+00,4.393253691188267820e-03
2.842459084740652120e+00,1.132550047901239795e-02
2.842030218800168928e+00,3.342394978423557286e-03
2.841601482253456101e+00,1.573609643204654587e-03
2.841172875041962254e+00,1.112305106434061455e-02
2.840744397107172858e+00,7.221325273400166014e-03
2.840316048390608028e+00,3.158367491264395949e-05
2.839887828833822514e+00,8.608063186121365715e-03
2.839459738378407483e+00,1.114246028751228815e-02
2.839031776965988740e+00,1.091767281649138471e-03
2.838603944538226731e+00,4.490302271531096921e-03
2.838176241036818315e+00,1.313898971314314199e-02
2.837748666403494102e+00,5.103899178199110265e-03
2.837321220580020675e+00,8.391206019540391886e-04
2.836893903508199699e+00,1.161536006506055235e-02
2.836466715129867477e+00,1.059330103055869214e-02
2.836039655386895841e+00,3.090560911385032555e-04
2.835612724221190817e+00,6.806467279532376485e-03
2.835185921574694401e+00,1.440145122754150908e-02
2.834759247389382786e+00,4.303612643492470309e-03
2.834332701607267690e+00,1.577989140927849379e-03
2.833906284170395029e+00,1.347575136812387275e-02
2.833479995020846243e+00,1.110296279865844241e-02
2.833053834100737411e+00,2.257757150906274449e-04
2.832627801352219254e+00,7.693658154699414657e-03
2.832201896717476686e+00,1.592690690955654576e-02
2.831776120138731478e+00,5.093597225258717984e-03
2.831350471558237381e+00,1.362562874947494986e-03
2.830924950918285443e+00,1.424679384966543935e-02
2.830499558161199136e+00,1.332314165963668397e-02
2.830074293229338345e+00,7.483967167732450548e-04
2.829649156065096705e+00,6.660824306391975244e-03
2.829224146610902491e+00,1.770035082647583580e-02
2.828799264809219061e+00,8.030451771133758493e-03
2.828374510602543523e+00,3.362124116313147670e-04
2.827949883933408071e+00,1.312370812490624636e-02
2.827525384744379977e+00,1.714581548406543879e-02
2.827101012978059380e+00,3.069039461822770966e-03
2.826676768577082388e+00,3.579985974182823757e-03
2.826252651484118861e+00,1.816164038904942088e-02
2.825828661641873296e+00,1.373115542350392820e-02
2.825404798993084388e+00,3.445861045131906608e-04
2.824981063480525023e+00,8.829942034155149541e-03
2.824557455047002730e+00,2.063850936897878435e-02
2.824133973635359229e+00,9.276704247217718718e-03
2.823710619188470883e+00,2.795832267192682741e-04
2.823287391649247358e+00,1.436169602936591960e-02
2.822864290960633404e+00,2.071622207326287088e-02
2.822441317065607524e+00,5.242419427994898969e-03
2.822018469907182858e+00,2.300901930707661275e-03
2.821595749428406297e+00,1.907212642895226087e-02
2.821173155572358482e+00,1.921549534962178549e-02
2.820750688282155583e+00,2.360017914578012993e-03
2.820328347500945743e+00,5.489549494081838628e-03
2.819906133171913076e+00,2.257644791171911289e-02
2.819484045238275005e+00,1.704801694979188320e-02
2.819062083643281813e+00,7.292750168753931589e-04
2.818640248330219755e+00,9.019387436945892900e-03
2.818218539242407950e+00,2.499578087797332121e-02
2.817796956323198820e+00,1.491876903680683202e-02
2.817375499515980319e+00,8.160583594246650918e-05
2.816954168764172817e+00,1.232524819876124750e-02
2.816532964011231321e+00,2.669004089927275170e-02
2.816111885200644149e+00,1.326342305221074776e-02
2.815690932275933367e+00,2.068127163708591287e-05
